epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
177,6801.26,1.42043,0.88031,0.93744,0.94574,0.63163,0.70611,0.50622,1.03331,0.6025,0.90082,0.0001288,0.0001288,0.0001288
178,6838.91,1.41049,0.87519,0.93515,0.94561,0.63185,0.70646,0.50684,1.03209,0.6025,0.90068,0.00012385,0.00012385,0.00012385
179,6876.15,1.40839,0.87468,0.93845,0.947,0.63185,0.70685,0.50662,1.0308,0.60232,0.90047,0.0001189,0.0001189,0.0001189
180,6912.96,1.39678,0.86944,0.93759,0.94702,0.63218,0.70703,0.50773,1.0289,0.60196,0.90028,0.00011395,0.00011395,0.00011395
181,6948.85,1.39412,0.86473,0.93537,0.94573,0.63261,0.70853,0.50901,1.02651,0.60152,0.89997,0.000109,0.000109,0.000109
182,6984.25,1.37725,0.8619,0.93363,0.94507,0.63261,0.70747,0.50896,1.02517,0.60196,0.89977,0.00010405,0.00010405,0.00010405
183,7019.37,1.37801,0.8586,0.92848,0.94505,0.63261,0.70833,0.50877,1.02421,0.60228,0.89968,9.91e-05,9.91e-05,9.91e-05
184,7055.09,1.38335,0.85442,0.93525,0.9444,0.63261,0.70829,0.50972,1.02195,0.60188,0.89941,9.415e-05,9.415e-05,9.415e-05
185,7090.97,1.37148,0.84856,0.92874,0.9443,0.63287,0.7084,0.51027,1.01912,0.60178,0.89908,8.92e-05,8.92e-05,8.92e-05
186,7126.86,1.38727,0.85775,0.9295,0.94435,0.63341,0.70845,0.5105,1.01806,0.60196,0.89885,8.425e-05,8.425e-05,8.425e-05
187,7162.69,1.37202,0.8549,0.92786,0.94711,0.63323,0.70889,0.51185,1.01661,0.60188,0.89865,7.93e-05,7.93e-05,7.93e-05
188,7196.76,1.35058,0.84337,0.92648,0.94844,0.63245,0.70891,0.51195,1.01508,0.60194,0.8984,7.435e-05,7.435e-05,7.435e-05
189,7233.15,1.36303,0.84881,0.92726,0.94779,0.6336,0.70923,0.51213,1.01287,0.60151,0.89817,6.94e-05,6.94e-05,6.94e-05
190,7269.63,1.36593,0.83921,0.92331,0.94885,0.63261,0.70935,0.51283,1.01075,0.60169,0.89791,6.445e-05,6.445e-05,6.445e-05
191,7329.59,1.09213,0.65817,0.88793,0.95012,0.63261,0.70936,0.51381,1.00828,0.60129,0.89755,5.95e-05,5.95e-05,5.95e-05
192,7366.15,1.04685,0.62865,0.88522,0.95176,0.63261,0.70959,0.51511,1.00573,0.60126,0.89727,5.455e-05,5.455e-05,5.455e-05
193,7402.47,1.0169,0.60783,0.88239,0.95345,0.63261,0.70986,0.51527,1.00414,0.60108,0.89702,4.96e-05,4.96e-05,4.96e-05
194,7437.95,1.0045,0.59423,0.87945,0.95014,0.63261,0.71053,0.51576,1.00182,0.60169,0.8967,4.465e-05,4.465e-05,4.465e-05
195,7473.03,0.98329,0.5775,0.87521,0.9487,0.63261,0.71133,0.51624,0.99924,0.60142,0.89633,3.97e-05,3.97e-05,3.97e-05
196,7509.45,0.97395,0.57749,0.8751,0.94298,0.63354,0.71406,0.5182,0.99712,0.60156,0.89598,3.475e-05,3.475e-05,3.475e-05
197,7547.15,0.9571,0.56899,0.87317,0.94527,0.6336,0.7143,0.51844,0.9941,0.6016,0.89562,2.98e-05,2.98e-05,2.98e-05
198,7583.86,0.96545,0.57502,0.87375,0.94999,0.63261,0.71451,0.51966,0.99164,0.60116,0.89524,2.485e-05,2.485e-05,2.485e-05
199,7620.51,0.95313,0.56235,0.87194,0.94635,0.6336,0.71476,0.52047,0.98932,0.60138,0.8949,1.99e-05,1.99e-05,1.99e-05
200,7656.23,0.93643,0.55374,0.86999,0.94803,0.63458,0.7151,0.52085,0.98691,0.60157,0.89459,1.495e-05,1.495e-05,1.495e-05
